Timestamp,Air Pressure 1,Air Pressure 2,Chiller 1 Supply Tmp,Chiller 2 Supply Tmp,Outside Air Temp,Outside Humidity,Outside Dewpoint
7/27/2021 0:02,114.164352,116.718307,53.362522,53.015007,73.512497,83.599998,68.237495
7/27/2021 0:07,114.595787,117.147079,53.767521,53.172516,72.599998,85.987503,68.175003
7/27/2021 0:12,114.485298,117.305901,52.575024,53.150017,72.212502,86.350006,67.924995
7/27/2021 0:17,113.995987,116.824173,52.39502,52.452507,72.337494,87.074997,68.249992
7/27/2021 0:22,114.411636,116.988281,53.452522,51.620007,72.424995,86.324997,68.112495
7/27/2021 0:27,114.143295,117.200027,53.722523,52.992512,72.362495,85.0625,67.637497
7/27/2021 0:32,114.243279,116.787125,52.710022,52.790009,72.699997,84.262497,67.674995
7/27/2021 0:37,114.216965,117.43824,52.237518,52.677513,72.5,82.687508,66.912498
7/27/2021 0:42,114.064384,116.776535,53.250023,52.790009,72.675003,82.400002,67.025002
7/27/2021 0:47,114.301147,117.252945,53.745026,52.857506,72.662498,81.349991,66.612495
7/27/2021 0:52,114.359024,117.147087,52.822525,52.992508,72.700005,79.875,66.125
7/27/2021 0:57,114.164352,116.861237,52.215019,53.082512,72.574997,80.962502,66.375
7/27/2021 1:02,114.201172,116.628319,53.182522,53.150017,72.099998,83.824997,66.925003
7/27/2021 1:07,114.437935,116.94593,53.767517,53.060005,71.612503,84.75,66.774994
7/27/2021 1:12,114.532654,117.533524,52.800022,53.150017,71.349998,84.612495,66.462502
7/27/2021 1:17,114.443214,116.697121,52.282516,52.18251,70.849991,87.012497,66.787498
7/27/2021 1:22,114.585258,117.999359,53.002525,51.552513,70.675003,88.437492,67.087494
7/27/2021 1:27,114.23275,116.882408,53.902523,53.015007,70.212502,88.024994,66.487495
7/27/2021 1:32,114.090691,117.570572,52.957523,52.610012,69.799995,88.300003,66.149994
7/27/2021 1:37,114.269585,117.946426,52.37252,52.700008,69.712509,89.162506,66.362495
7/27/2021 1:42,113.990723,116.638916,52.642525,52.812508,69.387497,90.550003,66.525002
7/27/2021 1:47,113.538223,116.331879,53.835026,52.947506,69.5625,89.200005,66.249992
7/27/2021 1:52,114.259064,117.814087,53.362526,52.970005,69.599998,88.224991,65.924995
7/27/2021 1:57,114.527397,117.591751,52.530025,52.992508,70.025002,87.487495,66.162498
7/27/2021 2:02,114.43795,117.342957,52.260021,53.150017,69.750008,88.925003,66.299995
7/27/2021 2:07,114.111732,117.840546,53.340023,53.240013,69.525002,89.637497,66.324997
7/27/2021 2:12,114.580002,117.930542,53.722519,53.060009,69.550003,86.724991,65.424995
7/27/2021 2:17,113.848663,116.792412,52.84502,51.597507,69.599998,85.637505,65.112503
7/27/2021 2:22,114.595795,117.649986,52.350018,52.070007,69.149994,88.637497,65.650002
7/27/2021 2:27,114.153831,117.221199,52.845024,52.835011,68.412498,90.012497,65.350006
7/27/2021 2:32,114.580002,117.469994,53.767517,52.610012,68.487503,89.3125,65.212502
7/27/2021 2:37,114.190659,117.115326,52.890022,52.632511,68.849998,88.412506,65.300003
7/27/2021 2:42,114.311676,116.739479,52.19252,52.790009,68.787491,89.112503,65.474998
7/27/2021 2:47,114.632622,117.342957,53.160023,52.812508,68.512497,91.062492,65.799995
7/27/2021 2:52,113.938103,116.977699,53.542522,52.812508,68.0625,90.275002,65.099998
7/27/2021 2:57,114.632622,117.184143,52.597519,52.970005,68.4375,89.474998,65.200005
7/27/2021 3:02,114.306412,117.147087,52.507519,53.082512,68.662498,89.299995,65.400002
7/27/2021 3:07,114.20118,117.110031,53.340023,53.217514,68.6875,87.962494,64.987495
7/27/2021 3:12,114.169609,116.998871,53.205021,53.150017,68.637497,88.249992,65.049995
7/27/2021 3:17,114.195915,116.697128,52.170021,52.835007,68.5,88.225006,64.875
7/27/2021 3:22,114.43795,117.274132,52.935024,51.552505,67.949997,90.362495,65.012497
7/27/2021 3:27,113.73291,116.469513,53.49752,52.47501,67.875,91.775002,65.387497
7/27/2021 3:32,114.458992,117.252953,53.227524,52.655014,67.912498,92.675003,65.700005
7/27/2021 3:37,113.896011,117.173561,52.080021,52.497509,68.224991,90.537498,65.349998
7/27/2021 3:42,114.311661,117.136497,52.935024,52.767509,67.962494,89.349998,64.724998
7/27/2021 3:47,114.043343,116.638908,53.542519,52.790009,68.099998,87.5,64.262497
7/27/2021 3:52,114.259064,117.067688,53.160023,52.812508,68.249992,85.749992,63.799999
7/27/2021 3:57,113.32251,116.061897,52.192516,52.902508,68.037498,86.299995,63.812496
7/27/2021 4:02,113.701347,116.691849,52.845016,52.947506,67.825005,87.449997,63.974991
7/27/2021 4:07,114.116997,116.89299,53.49752,53.082512,67.837494,87.575005,63.974995
7/27/2021 4:12,113.411957,116.321289,52.93502,53.015003,67.424995,90.574997,64.599998
7/27/2021 4:17,113.885483,117.104736,52.080017,53.060013,67.424995,91.862503,64.987503
7/27/2021 4:22,114.132774,117.035919,52.912521,53.262512,67.599998,91.875,65.175003
7/27/2021 4:27,113.243591,116.405991,53.49752,51.957504,67.712502,92.1875,65.362495
7/27/2021 4:32,114.095955,116.760651,52.800022,51.710011,67.849998,90.650002,65
7/27/2021 4:37,114.174873,116.982986,52.215023,53.082508,67.724998,88.012497,64.037498
7/27/2021 4:42,113.827614,116.908875,52.980026,52.610012,67.525002,86.649994,63.400002
7/27/2021 4:47,113.454041,116.093658,53.49752,52.65501,67.512497,85.987488,63.174999
7/27/2021 4:52,113.959152,117.247665,52.732525,52.767509,66.625,86.800003,62.5625
7/27/2021 4:57,113.743423,116.781822,52.215027,52.790009,66.3125,88.137497,62.6875
7/27/2021 5:02,113.748688,116.05661,53.092525,52.835007,65.487503,89.725006,62.399994
7/27/2021 5:07,113.995987,117.237083,53.610023,53.015007,65.337494,90.487495,62.487499
7/27/2021 5:12,113.432999,116.924751,52.777519,53.105011,65.1875,90.75,62.4375
7/27/2021 5:17,113.454048,116.014259,52.125019,53.060013,65.099998,91.762505,62.649994
7/27/2021 5:22,113.433006,116.96711,53.070026,53.195015,64.787491,92.800003,62.637505
7/27/2021 5:27,113.127838,116.225998,53.61002,53.21751,64.324997,93.462494,62.374992
7/27/2021 5:32,113.575058,116.919464,52.417519,51.710007,64.087502,93.987503,62.299995
7/27/2021 5:37,112.701653,115.299622,52.125019,51.687508,64.075005,94.074997,62.324997
7/27/2021 5:42,113.227806,115.966599,53.070026,52.925011,64.299995,94.637505,62.687496
7/27/2021 5:47,113.038391,116.469505,53.587521,52.610012,64.737495,95.5625,63.424999
7/27/2021 5:52,112.870026,115.405495,52.530018,52.65501,64.925003,95.287491,63.562504
7/27/2021 5:57,113.306725,116.697128,52.215023,52.790009,65.012497,94.837494,63.487495
7/27/2021 6:02,113.859177,116.887695,53.205025,52.812508,65.100006,93.700005,63.262497
7/27/2021 6:07,112.717438,116.008957,53.542526,52.85751,65.400002,94.287506,63.724995
7/27/2021 6:12,113.212021,115.659584,52.215023,52.790009,65.400002,93.537491,63.487495
7/27/2021 6:17,113.348816,116.601845,52.305023,52.970005,65.137505,92.512497,62.912498
7/27/2021 6:22,112.591171,115.892509,53.205025,52.970005,65.200005,92.712494,63.049999
7/27/2021 6:27,113.290947,116.480087,53.362522,53.12751,65.099998,91.849998,62.662498
7/27/2021 6:32,112.948944,115.627823,52.147522,51.867508,65.050003,91.549995,62.524998
7/27/2021 6:37,113.343552,116.464218,52.732517,51.710011,64.924995,91.987495,62.512501
7/27/2021 6:42,112.985779,116.061905,53.430023,53.015007,64.949997,91.775002,62.5
